inches,cpu_frequency,ram,weight,ssd,hdd,flash_storage,hybrid,resolution_width,resolution_height,ips_panel,touchscreen,ppi,company_Acer,company_Apple,company_Asus,company_Chuwi,company_Dell,company_Fujitsu,company_Google,company_HP,company_Huawei,company_LG,company_Lenovo,company_MSI,company_Mediacom,company_Microsoft,company_Razer,company_Samsung,company_Toshiba,company_Vero,company_Xiaomi,type_name_2 in 1 Convertible,type_name_Gaming,type_name_Netbook,type_name_Notebook,type_name_Ultrabook,type_name_Workstation,cpu_company_AMD,cpu_company_Intel,cpu_company_Samsung,gpu_company_AMD,gpu_company_ARM,gpu_company_Intel,gpu_company_Nvidia,operating_system_Android,operating_system_Chrome OS,operating_system_Linux,operating_system_Mac OS X,operating_system_No OS,operating_system_Windows 10,operating_system_Windows 10 S,operating_system_Windows 7,operating_system_macOS,cpu_family_AMD,cpu_family_Atom,cpu_family_Celeron,cpu_family_Core i3,cpu_family_Core i5,cpu_family_Core i7,cpu_family_Other,cpu_family_Pentium,gpu_family_FirePro,gpu_family_GTX,gpu_family_HD Graphics,gpu_family_Iris Graphics,gpu_family_MX,gpu_family_Other,gpu_family_Quadro,gpu_family_Radeon,gpu_family_UHD Graphics
13.3,2.5,8,1.6,256.0,0.0,0.0,0.0,1920,1080,1,1,165.6321180513006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
14.0,2.8,16,1.95,512.0,0.0,0.0,0.0,1920,1080,0,0,157.3505121487356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
15.6,2.3,4,2.1,256.0,0.0,0.0,0.0,1920,1080,1,1,141.21199808219862,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
15.6,2.7,8,2.2,0.0,1024.0,0.0,0.0,1920,1080,0,0,141.21199808219862,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15.6,2.0,4,1.86,0.0,1024.0,0.0,0.0,1920,1080,0,0,141.21199808219862,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
15.6,2.3,4,2.1,0.0,500.0,0.0,0.0,1366,768,0,0,100.45466986113651,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
14.0,1.44,2,1.4,0.0,0.0,32.0,0.0,1920,1080,0,0,157.3505121487356,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.0,2.4,4,1.74,256.0,0.0,0.0,0.0,1920,1080,1,1,157.3505121487356,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
17.3,2.8,8,2.7,128.0,1024.0,0.0,0.0,1920,1080,0,0,127.33567457123111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
14.0,1.6,4,1.6,0.0,0.0,128.0,0.0,1366,768,0,0,111.93520355955211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
