iter	RMSE
0	681.881932
1	665.5513098
2	651.4704548
3	639.8590781
4	625.653417
5	611.9101776
6	598.8346043
7	586.4609375
8	574.4374899
9	563.4876332
10	551.4869327
11	540.9484776
12	531.2488793
13	521.9730447
14	512.2042281
15	504.1132792
16	496.5720233
17	488.2648832
18	480.084474
19	473.5153912
20	466.9018412
21	459.9058767
22	453.2719366
23	447.3618594
24	441.0556009
25	435.284986
26	430.0834194
27	424.1258377
28	418.9161518
29	414.0139375
30	409.0821233
31	404.4635538
32	400.3635109
33	396.639332
34	392.6666866
35	389.1470406
36	384.5035332
37	380.3790109
38	376.9658727
39	373.6930314
40	370.6226022
41	367.8666444
42	364.7273802
43	362.2776105
44	359.7268495
45	356.7563251
46	353.5374397
47	350.9071769
48	348.7486167
49	346.1826791
50	344.05813
51	341.272881
52	338.6748177
53	336.60936
54	334.5739883
55	332.1424131
56	329.8339724
57	328.1412689
58	326.7900416
59	325.1649315
60	323.6987095
61	322.0306552
62	320.0737915
63	318.4111626
64	316.6125692
65	315.0606324
66	313.6783792
67	312.2435426
68	310.8044077
69	309.1325256
70	307.7869202
71	306.5908913
72	305.4548305
73	304.1300539
74	302.4076177
75	301.0966008
76	299.9193707
77	298.8862249
78	297.7777984
79	296.7109149
80	295.7696388
81	294.792675
82	293.671501
83	292.5371394
84	291.805388
85	290.7653976
86	289.3216341
87	288.3854048
88	287.7210185
89	287.0360893
90	286.2494133
91	285.3382817
92	284.5270213
93	283.7023235
94	282.9977481
95	282.0048368
96	281.3616521
97	280.4775231
98	279.8295525
99	278.7812648
100	277.9226242
101	277.0646419
102	276.3851417
103	275.6638871
104	274.7964927
105	273.6722621
106	272.8444694
107	272.0009896
108	271.5056557
109	270.8093086
110	270.1213884
111	269.6310465
112	269.0414102
113	268.2865985
114	267.5620251
115	266.7579059
116	266.1966251
117	265.5464235
118	264.9791577
119	264.1332078
120	263.5175143
121	262.9200159
122	262.3460938
123	261.8246138
124	261.1863369
125	260.7898982
126	260.3626246
127	259.9460599
128	259.2974632
129	258.7450324
130	258.1444824
131	257.6027479
132	256.986539
133	256.3937907
134	255.9484035
135	255.4241604
136	254.7394172
137	254.3179772
138	253.7225184
139	253.2288612
140	252.8794532
141	252.2524686
142	251.8966122
143	251.5377885
144	250.8791937
145	250.3391869
146	249.99199
147	249.5286611
148	249.0221479
149	248.7834629
150	248.14414
151	247.5402099
152	247.0652263
153	246.5882873
154	246.2751289
155	245.5381611
156	245.1378286
157	244.5871536
158	244.2258582
159	243.8344985
160	243.4529118
161	243.0230702
162	242.5290914
163	242.2575201
164	241.8181246
165	241.4537068
166	240.9332519
167	240.6001764
168	240.2391183
169	239.8329433
170	239.4510976
171	238.8986925
172	238.5847565
173	238.2848102
174	237.9849243
175	237.4771447
176	237.2203719
177	236.9367013
178	236.5379511
179	236.1844987
180	235.8916913
181	235.6946248
182	235.42266
183	234.9884423
184	234.2662384
185	233.8367377
186	233.6571625
187	233.2558139
188	232.9967471
189	232.7540152
190	232.2046323
191	231.6804085
192	231.5758952
193	230.9327725
194	230.2553209
195	229.8884895
196	229.7193123
197	229.6128412
198	229.4556517
199	229.3265947
200	229.1514549
201	229.0346438
202	228.5194098
203	228.3322477
204	228.1252412
205	227.8597653
206	227.6822556
207	227.6000095
208	227.0838931
209	226.9625129
210	226.538492
211	226.3566356
212	226.304371
213	226.2556676
214	225.8659271
215	225.818055
216	225.6913134
217	225.1917977
218	225.0377067
219	224.9509738
220	224.7490548
221	224.6312295
222	224.3012098
223	224.2589652
224	223.70929
225	223.1743723
226	223.0612412
227	222.9974777
228	222.4466922
229	222.0342832
230	221.9924175
231	221.9412201
232	221.3438365
233	220.8405411
234	220.273025
235	220.1531618
236	220.1134488
237	220.0486588
238	219.7362524
239	219.4824562
240	219.4174385
241	218.8141919
242	218.7778809
243	218.154031
244	217.6424489
245	217.5907053
246	217.4260519
247	217.1273674
248	216.8982887
249	216.7980751
250	216.7495147
251	216.2743068
252	216.1691775
253	215.7379552
254	215.5897566
255	215.5569702
256	215.5251217
257	215.2655462
258	214.8193711
259	214.7242058
260	214.2643779
261	214.0238883
262	213.8275657
263	213.467333
264	212.9425586
265	212.4115109
266	212.0268775
267	211.7124263
268	211.6784964
269	211.6486605
270	211.6161936
271	211.3488837
272	210.9340504
273	210.4746078
274	210.442447
275	210.4141363
276	210.3783307
277	209.9736414
278	209.6197358
279	209.1760122
280	208.8388081
281	208.7203448
282	208.422342
283	208.2509058
284	208.0819262
285	207.7240188
286	207.5892308
287	207.5243831
288	207.4953991
289	206.9718836
290	206.644483
291	206.61914
292	206.2775679
293	206.239538
294	206.1138048
295	206.086245
296	206.0592343
297	205.7648678
298	205.7383321
299	205.7027063
300	205.4017241
301	205.2439684
302	204.762064
303	204.6433761
304	204.4493308
305	204.415653
306	204.2843235
307	204.2043454
308	204.0916666
309	203.6334692
310	203.414639
311	203.3287982
312	203.0562307
313	202.796331
314	202.3895124
315	201.8674184
316	201.4850899
317	201.1927819
318	201.1612851
319	200.8021884
320	200.6278573
321	200.2076705
322	199.75136
323	199.4391587
324	199.2120543
325	198.9980316
326	198.753511
327	198.5112072
328	198.0795586
329	197.7416394
330	197.6669805
331	197.5494498
332	197.4005006
333	197.0354934
334	196.9288179
335	196.4920901
336	196.4374824
337	196.1282267
338	196.1050598
339	195.8124341
340	195.7132815
341	195.4538001
342	195.1889352
343	195.0619841
344	194.6847035
345	194.4226297
346	194.2121662
347	193.9436817
348	193.6613077
349	193.6307286
350	193.5956633
351	193.2731363
352	193.2438274
353	193.2155205
354	192.8553319
355	192.8277753
356	192.5521554
357	192.5255816
358	192.4998973
359	192.3200266
360	192.0835698
361	192.0675606
362	191.6605572
363	191.6450325
364	191.3681764
365	191.3440604
366	191.2364896
367	191.049046
368	190.7316867
369	190.7087091
370	190.4066871
371	190.2087866
372	189.9059156
373	189.8872646
374	189.6385296
375	189.4837204
376	189.289317
377	189.2672674
378	188.9322013
379	188.9110313
380	188.5164631
381	188.3094643
382	188.1219597
383	187.8812422
384	187.7523147
385	187.5328067
386	187.5125348
387	187.2330361
